Name,Lat,Lon,Category
Homebush Public School,-33.867319,151.08523,School
Horsley Park Public School,-33.840414,150.852683,School
Hoxton Park Public School,-33.931881,150.849626,School
Ingleburn Public School,-34.000332,150.866612,School
Kentlyn Public School,-34.073132,150.858576,School
Lakemba Public School,-33.923615,151.070046,School
Lidcombe Public School,-33.861019,151.046926,School
Merrylands Public School,-33.840516,150.976047,School
Milperra Public School,-33.942077,150.979779,School
Minto Public School,-34.029979,150.847266,School
Mortlake Public School,-33.849829,151.103861,School
Mount Hunter Public School,-34.07177,150.63643,School
Mount Pritchard Public School,-33.899845,150.900007,School
Narellan Public School,-34.042764,150.733769,School
Oakdale Public School,-34.078907,150.508197,School
The Oaks Public School,-34.078385,150.571724,School
Old Guildford Public School,-33.867484,150.986508,School
Padstow Park Public School,-33.954955,151.030882,School
Picton Public School,-34.17624,150.609346,School
Prestons Public School,-33.94642,150.889961,School
Punchbowl Public School,-33.930613,151.055905,School
Leppington Public School,-33.959269,150.810901,School
Regents Park Public School,-33.885518,151.024693,School
Revesby Public School,-33.944449,151.017145,School
Rossmore Public School,-33.946493,150.770857,School
St Johns Park Public School,-33.887204,150.899278,School
Smithfield Public School,-33.853583,150.933495,School
Strathfield North Public School,-33.854531,151.09204,School
Strathfield South Public School,-33.89078,151.084702,School
Tahmoor Public School,-34.227663,150.588951,School
Thirlmere Public School,-34.204832,150.569311,School
Carramar Public School,-33.885512,150.969204,School
Yanderra Public School,-34.320475,150.571244,School
Kemps Creek Public School,-33.882805,150.790299,School
Fairfield Heights Public School,-33.866094,150.940272,School
Warwick Farm Public School,-33.909642,150.929409,School
Chester Hill Public School,-33.885597,151.00161,School
Georges Hall Public School,-33.912435,150.9922,School
Riverwood Public School,-33.947208,151.046586,School
Condell Park Public School,-33.925486,151.013674,School
Chullora Public School,-33.895371,151.060249,School
Chalmers Road School,-33.879569,151.081613,School
Yagoona Public School,-33.909174,151.026716,School
Wattle Grove Public School,-33.958654,150.937482,School
Narwee Public School,-33.948186,151.06865,School
East Hills Public School,-33.957953,150.991975,School
Beverly Hills North Public School,-33.940606,151.074837,School
Padstow Heights Public School,-33.966519,151.030001,School
Villawood East Public School,-33.890154,150.986013,School
Cabramatta West Public School,-33.897515,150.922985,School
Chester Hill North Public School,-33.872352,151.001039,School
Canley Heights Public School,-33.884812,150.922611,School
Yennora Public School,-33.866826,150.970993,School
Guildford West Public School,-33.847672,150.966496,School
Fairvale Public School,-33.876939,150.940718,School
Panania North Public School,-33.944499,150.999631,School
Revesby South Public School,-33.960526,151.017335,School
Birrong Public School,-33.895596,151.02007,School
Leumeah Public School,-34.049425,150.840373,School
Wattawa Heights Public School,-33.914921,151.012095,School
Macquarie Fields Public School,-33.995325,150.882486,School
Villawood North Public School,-33.877111,150.972454,School
Padstow North Public School,-33.945302,151.031421,School
Hannans Road Public School,-33.945271,151.057599,School
Campbelltown North Public School,-34.061201,150.826589,School
Bankstown West Public School,-33.915528,151.019639,School
Tower Street Public School,-33.956383,151.007373,School
Liverpool West Public School,-33.927101,150.907691,School
Casula Public School,-33.944218,150.9092,School
Mount Pritchard East Public School,-33.905097,150.912044,School
Banksia Road Public School,-33.906898,151.05011,School
Campbelltown East Public School,-34.072299,150.831753,School
Marsden Road Public School,-33.916491,150.912841,School
Camden South Public School,-34.069741,150.69563,School
Holsworthy Public School,-33.956342,150.953353,School
Lurnea Public School,-33.932082,150.891925,School
Bardia Public School,-33.97528,150.857923,School
Ringrose Public School,-33.820181,150.959399,School
Harrington Street Public School,-33.888595,150.908725,School
Sadleir Public School,-33.915843,150.891029,School
Sherwood Grange Public School,-33.836784,150.960103,School
Heckenberg Public School,-33.908784,150.890543,School
Busby Public School,-33.911561,150.881313,School
Miller Public School,-33.921454,150.876881,School
Picnic Point Public School,-33.969119,151.010243,School
Ashcroft Public School,-33.916395,150.89839,School
Smithfield West Public School,-33.857608,150.91788,School
Cartwright Public School,-33.925284,150.890943,School
Lansvale East Public School,-33.897993,150.964109,School
Busby West Public School,-33.906099,150.87445,School
Bradbury Public School,-34.085998,150.81269,School
Nuwarra Public School,-33.933241,150.951499,School
Briar Road Public School,-34.089103,150.827673,School
Curran Public School,-33.993145,150.899426,School
Guise Public School,-33.987448,150.89692,School
Mawarra Public School,-34.061245,150.7122,School
King Park Public School,-33.879147,150.910701,School
Widemere Public School,-33.834174,150.939897,School
John Warby Public School,-34.082225,150.834434,School
